work_year,experience_level,employment_type,salary_in_usd,employee_residence,remote_ratio,company_location,job_category
2024,SE,FT,297000,US,0,US,Data Scientist
2024,SE,FT,297000,US,0,US,Data Scientist
2024,SE,FT,297000,US,0,US,Data Scientist
2023,SE,FT,297000,US,0,US,Data Scientist
2023,SE,FT,297000,US,0,US,Machine Learning
2024,SE,FT,296980,US,0,US,Data Scientist
2023,MI,FT,296980,US,0,US,Data Scientist
2024,SE,FT,296400,US,0,US,Machine Learning
2023,SE,FT,296400,US,0,US,Machine Learning
2023,SE,FT,296400,US,0,US,Machine Learning
2023,SE,FT,296400,US,0,US,Machine Learning
2024,SE,FT,296100,US,0,US,Data Scientist
2023,SE,FT,296100,US,0,US,Data Scientist
2023,EX,FT,295500,US,100,US,Machine Learning
2024,SE,FT,295490,US,0,US,Data Scientist
2023,SE,FT,295490,US,0,US,Data Scientist
2023,SE,FT,295490,US,0,US,Data Scientist
2023,SE,FT,295490,US,0,US,Data Scientist
2023,SE,FT,295490,US,0,US,Data Scientist
2023,SE,FT,295490,US,0,US,Data Scientist
2023,SE,FT,295490,US,0,US,Data Scientist
2023,SE,FT,295490,US,0,US,Data Scientist
2024,MI,FT,295000,US,0,US,AI Research
2024,MI,FT,295000,US,0,US,AI Research
2024,SE,FT,295000,US,0,US,Data Engineer
2024,MI,FT,295000,US,0,US,AI Research
2024,MI,FT,295000,US,0,US,AI Research
2024,MI,FT,295000,US,0,US,Research & Science
2024,MI,FT,295000,US,0,US,AI Research
2024,SE,FT,295000,US,0,US,Research & Science
2024,SE,FT,295000,US,0,US,AI Research
2023,SE,FT,295000,US,0,US,Data Scientist
2024,SE,FT,294000,US,0,US,Data Scientist
2023,SE,FT,294000,US,0,US,Machine Learning
2023,SE,FT,293000,US,0,US,Research & Science
2023,SE,FT,293000,US,0,US,Data Engineer
2023,SE,FT,293000,US,0,US,AI Research
2024,EN,FT,291900,US,0,US,Data Analyst
2023,SE,FT,291500,US,0,US,Machine Learning
2023,SE,FT,291500,US,0,US,Data Engineer
2023,SE,FT,291500,US,0,US,Data Engineer
2023,SE,FT,290300,US,0,US,Data Engineer
2024,SE,FT,290000,US,0,US,Research & Science
2024,EX,FT,290000,US,0,US,Machine Learning
2024,SE,FT,290000,US,0,US,Machine Learning
2024,SE,FT,290000,US,0,US,AI Research
2024,SE,FT,290000,US,100,US,Research & Science
2024,EX,FT,290000,US,100,US,Leadership & Management
2023,SE,FT,290000,US,0,US,Data Scientist
2023,SE,FT,290000,US,100,US,Machine Learning
2023,EX,FT,290000,US,100,US,Leadership & Management
2023,SE,FT,290000,US,100,US,Data Engineer
2023,SE,FT,289800,US,0,US,BI & Analytics
2023,SE,FT,289800,GB,0,GB,BI & Analytics
2023,SE,FT,289800,US,0,US,BI & Analytics
2023,SE,FT,289800,US,0,US,BI & Analytics
2023,SE,FT,289120,US,0,US,Data Operations
2023,SE,FT,289076,US,0,US,Machine Learning
2023,SE,FT,289076,US,0,US,Machine Learning
2024,SE,FT,289000,US,100,US,AI Specialist
2023,SE,FT,288000,US,100,US,Data Engineer
2023,SE,FT,288000,US,100,US,Machine Learning
2023,SE,FT,288000,US,100,US,Machine Learning
2023,SE,FT,287700,US,0,US,Machine Learning
2024,SE,FT,287500,US,0,US,BI & Analytics
2024,SE,FT,287500,US,0,US,Machine Learning
2023,SE,FT,287500,US,0,US,Research & Science
2023,SE,FT,287500,US,0,US,Data Scientist
2023,SE,FT,287500,US,0,US,Machine Learning
2023,MI,FT,287500,AU,0,AU,Machine Learning
2023,MI,FT,287500,AU,0,AU,Machine Learning
2024,SE,FT,286000,US,0,US,Data Scientist
2023,SE,FT,286000,US,0,US,Data Engineer
